model,model_config_id,fold,asset,regime_dimension,stressed_regime_value,reference_regime_value,stressed_n,reference_n,stressed_status,reference_status,contrast_status,headline_reportable,stressed_mae,reference_mae,stressed_rmse,reference_rmse,stressed_directional_accuracy,reference_directional_accuracy,stressed_mae_skill,reference_mae_skill,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_reportable_seed_count,lstm_seed_mae_skill_degradations,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,LGBM_02,D2,MSFT,trend,negative_trend,positive_trend,2,250,descriptive_low_n,reportable,descriptive_low_n,False,0.013927463115701158,0.010168654621806569,0.014109154386211416,0.013204576563494512,0.5,0.50800000000000001,0.11300576916061356,-0.0080628706745753398,0.1210686398351889,0.0037588084938945891,0.00090457782271690344,-0.0080000000000000071,0.0080000000000000071,,,,
lightgbm,LGBM_02,D2,MSFT,volatility,high_volatility,low_volatility,144,108,reportable,reportable,reportable,True,0.010650702241858575,0.0095955320264389816,0.013701472741270869,0.012529659579039839,0.51388888888888884,0.5,0.0045985173548014346,-0.023576252667847131,0.028174770022648565,0.001055170215419593,0.0011718131622310297,0.01388888888888884,-0.01388888888888884,,,,
lightgbm,LGBM_02,D2,MSFT,transition,transition,stable,52,200,reportable,reportable,reportable,True,0.011614449878502804,0.0098303359400044935,0.014963145857488458,0.012717265599325272,0.61538461538461542,0.47999999999999998,0.039621176665848634,-0.021669926057147793,0.061291102722996427,0.0017841139384983107,0.0022458802581631857,0.13538461538461544,-0.13538461538461544,,,,
lightgbm,LGBM_02,D2,GOOGL,trend,negative_trend,positive_trend,2,250,descriptive_low_n,reportable,descriptive_low_n,False,0.012276690440295201,0.010894274319704529,0.013150157849842546,0.015227652679690944,1,0.56799999999999995,0.048229151899349731,0.013486144883062767,0.034743007016286964,0.001382416120590672,-0.0020774948298483975,0.43200000000000005,-0.43200000000000005,,,,
lightgbm,LGBM_02,D2,GOOGL,volatility,high_volatility,low_volatility,144,108,reportable,reportable,reportable,True,0.011224211867860589,0.010479957887359235,0.015832227069793713,0.014344068725753466,0.59027777777777779,0.54629629629629628,0.01977543830884565,0.0051587693290164882,0.014616668979829162,0.000744253980501354,0.0014881583440402475,0.04398148148148151,-0.04398148148148151,,,,
lightgbm,LGBM_02,D2,GOOGL,transition,transition,stable,52,200,reportable,reportable,reportable,True,0.011306847992325538,0.010800829326028971,0.015833765940222361,0.015046491510662788,0.61538461538461542,0.56000000000000005,0.027166357702024468,0.010108081932103441,0.017058275769921027,0.00050601866629656697,0.00078727442955957294,0.055384615384615365,-0.055384615384615365,,,,
lightgbm,LGBM_02,D2,NVDA,trend,negative_trend,positive_trend,2,250,descriptive_low_n,reportable,descriptive_low_n,False,0.022306732459207102,0.021584737776100732,0.02458026414208345,0.028562481697937337,1,0.49199999999999999,0.083392165235045779,-0.012844381337013377,0.096236546572059156,0.00072199468310637019,-0.0039822175558538869,0.50800000000000001,-0.50800000000000001,,,,
lightgbm,LGBM_02,D2,NVDA,volatility,high_volatility,low_volatility,144,108,reportable,reportable,reportable,True,0.022100361048402215,0.020910610351608124,0.02900244085103261,0.027894947124932404,0.54166666666666663,0.43518518518518517,0.0080391634443383042,-0.04158525846859229,0.049624421912930594,0.001189750696794091,0.0011074937261002053,0.10648148148148145,-0.10648148148148145,,,,
lightgbm,LGBM_02,D2,NVDA,transition,transition,stable,52,200,reportable,reportable,reportable,True,0.024235537484896652,0.020902749798644857,0.031506270309815537,0.027707821583211122,0.48076923076923078,0.5,-0.0073845591989396553,-0.013364627451677213,0.0059800682527375582,0.0033327876862517952,0.0037984487266044149,-0.019230769230769218,0.019230769230769218,,,,
lightgbm,LGBM_01,D3,AAPL,trend,negative_trend,positive_trend,196,55,reportable,reportable,reportable,True,0.018675547010290887,0.01646340375901308,0.023691827054823603,0.020881781529747075,0.50510204081632648,0.43636363636363634,-0.037259836187532036,-0.093001587410868503,0.055741751223336466,0.0022121432512778073,0.002810045525076528,0.068738404452690138,-0.068738404452690138,,,,
lightgbm,LGBM_01,D3,AAPL,volatility,high_volatility,low_volatility,251,0,reportable,descriptive_low_n,descriptive_low_n,False,0.018190814425349536,,0.023105337093600468,,0.49003984063745021,,-0.047857706029938329,,,,,,,,,,
lightgbm,LGBM_01,D3,AAPL,transition,transition,stable,57,194,reportable,reportable,reportable,True,0.019454877980934603,0.017819414308502372,0.025119309995142888,0.022479333266932359,0.50877192982456143,0.4845360824742268,-0.06839543729612596,-0.04143584100034392,-0.02695959629578204,0.0016354636724322316,0.0026399767282105288,0.024235847350334627,-0.024235847350334627,,,,
lightgbm,LGBM_01,D3,MSFT,trend,negative_trend,positive_trend,196,55,reportable,reportable,reportable,True,0.018418899370234852,0.013518374408754048,0.023336608761441707,0.018442249395620901,0.48979591836734693,0.36363636363636365,-0.0031012326899901854,-0.040164252797498801,0.037063020107508615,0.0049005249614808045,0.0048943593658208051,0.12615955473098328,-0.12615955473098328,,,,
lightgbm,LGBM_01,D3,MSFT,volatility,high_volatility,low_volatility,251,0,reportable,descriptive_low_n,descriptive_low_n,False,0.017345079159551812,,0.022356000773373349,,0.46215139442231074,,-0.0092426929652009715,,,,,,,,,,
