model,model_config_id,fold,asset,regime_dimension,regime_value,n_seeds,n_per_seed,all_seed_cells_reportable,sample_size_status,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_min,directional_accuracy_max,actual_positive_direction_balance_mean,actual_positive_direction_balance_std,actual_positive_direction_balance_min,actual_positive_direction_balance_max,matched_baseline_mae_mean,matched_baseline_mae_std,matched_baseline_mae_min,matched_baseline_mae_max,mae_skill_mean,mae_skill_std,mae_skill_min,mae_skill_max,matched_direction_persistence_da_mean,matched_direction_persistence_da_std,matched_direction_persistence_da_min,matched_direction_persistence_da_max,da_difference_mean,da_difference_std,da_difference_min,da_difference_max
lstm_seed_mean,LSTM_63,D1,GOOGL,volatility,high_volatility,3,220,True,reportable,0.018964667185136078,0.0018211151231920933,0.017436626762069165,0.02152410093872149,0.027206951837125713,0.0027890322848322597,0.024897681143278519,0.03113079343777236,0.50151515151515147,0.024711373379242566,0.48181818181818181,0.53636363636363638,0.55454545454545456,0,0.55454545454545456,0.55454545454545456,0.017424254098311165,0,0.017424254098311165,0.017424254098311165,-0.088406257056031931,0.10451610226279946,-0.23529540015188943,-0.00071008283558038343,0.43181818181818182,0,0.43181818181818182,0.43181818181818182,0.069696969696969702,0.024711373379242566,0.049999999999999989,0.10454545454545455
lstm_seed_mean,LSTM_63,D1,GOOGL,volatility,low_volatility,3,33,True,reportable,0.012555546395402163,0.00040896365623302553,0.012167632847128951,0.013121012546915426,0.016609308257223822,0.00038319142933092163,0.016219059895057088,0.01713005978534464,0.5757575757575758,0.049484641268347035,0.51515151515151514,0.63636363636363635,0.69696969696969691,1.1102230246251565e-16,0.69696969696969702,0.69696969696969702,0.012466733391491279,0,0.012466733391491279,0.012466733391491279,-0.0071239996173736442,0.032804395777978938,-0.052482004297188301,0.023991893864231395,0.45454545454545453,0,0.45454545454545453,0.45454545454545453,0.12121212121212123,0.049484641268347035,0.060606060606060608,0.18181818181818182
lstm_seed_mean,LSTM_63,D1,MSFT,transition,stable,3,162,True,reportable,0.016731199518109519,0.0014991093225783484,0.015223649624750075,0.018775890082029935,0.022355038119833189,0.0019660780402839108,0.020017196192865228,0.024827441202148488,0.51234567901234562,0.026669714808262798,0.48765432098765432,0.54938271604938271,0.56172839506172845,0,0.56172839506172845,0.56172839506172845,0.014026594097933285,1.7347234759768071e-18,0.014026594097933286,0.014026594097933286,-0.19281982506179016,0.10687621757011072,-0.33859224491257089,-0.085341852659239992,0.43209876543209874,0,0.43209876543209874,0.43209876543209874,0.080246913580246937,0.026669714808262798,0.05555555555555558,0.11728395061728397
lstm_seed_mean,LSTM_63,D1,MSFT,transition,transition,3,91,True,reportable,0.031372812855859168,0.0030965270479421138,0.028675747251417118,0.035709170532793801,0.043455127858980057,0.0051333048976157977,0.038556344962726419,0.050544311690323945,0.47252747252747257,0.031081616755452658,0.45054945054945056,0.51648351648351654,0.5714285714285714,0,0.5714285714285714,0.5714285714285714,0.026824170658166297,0,0.026824170658166297,0.026824170658166297,-0.16957251933931058,0.11543794167591215,-0.33123111196440935,-0.069026424594682778,0.36263736263736263,0,0.36263736263736263,0.36263736263736263,0.10989010989010993,0.031081616755452662,0.087912087912087933,0.15384615384615391
lstm_seed_mean,LSTM_63,D1,MSFT,trend,negative_trend,3,64,True,reportable,0.035708304276476081,0.0030686760090266833,0.03196333095894708,0.039479880140836456,0.049135687999718479,0.0054179926747069647,0.04314211060932268,0.056266450507577712,0.54166666666666663,0.08684027083610972,0.421875,0.625,0.546875,0,0.546875,0.546875,0.03017951900457146,0,0.03017951900457146,0.03017951900457146,-0.18319660002093294,0.10168074609014986,-0.30816797096256621,-0.059106705912225221,0.34375,0,0.34375,0.34375,0.19791666666666666,0.08684027083610972,0.078125,0.28125
lstm_seed_mean,LSTM_63,D1,MSFT,trend,positive_trend,3,189,True,reportable,0.01735475565144157,0.0018128499865365142,0.016032121998496594,0.019918076099256887,0.022808353303390077,0.0024193511777182652,0.020711147471298159,0.026198149495325462,0.48324514991181661,0.024565058689919081,0.44973544973544971,0.50793650793650791,0.5714285714285714,0,0.5714285714285714,0.5714285714285714,0.014718616706167996,0,0.014718616706167996,0.014718616706167996,-0.17910235709642963,0.12316714421789512,-0.35325734047480162,-0.089241082810326944,0.42857142857142855,0,0.42857142857142855,0.42857142857142855,0.054673721340388004,0.024565058689919081,0.021164021164021163,0.079365079365079361
lstm_seed_mean,LSTM_63,D1,MSFT,volatility,high_volatility,3,220,True,reportable,0.023235802306465738,0.0021544661538364608,0.021290529885700533,0.026239330689957985,0.033202211000516631,0.0036104136681757298,0.0295226496089721,0.038107648437905012,0.49848484848484848,0.017141982574219315,0.48636363636363639,0.52272727272727271,0.55909090909090908,0,0.55909090909090908,0.55909090909090908,0.019551432149232571,0,0.019551432149232571,0.019551432149232571,-0.18844502689680379,0.11019479992011876,-0.34206693860981052,-0.088949889869639254,0.40909090909090912,0,0.40909090909090912,0.40909090909090912,0.089393939393939373,0.017141982574219315,0.077272727272727271,0.11363636363636359
lstm_seed_mean,LSTM_63,D1,MSFT,volatility,low_volatility,3,33,True,reportable,0.013742538921044383,0.0015699384616701879,0.011872959522253097,0.015714423029767569,0.017711083020437179,0.0015433381047483348,0.015994527952183344,0.019736801251812281,0.49494949494949497,0.10301049522409667,0.39393939393939392,0.63636363636363635,0.60606060606060608,0,0.60606060606060608,0.60606060606060608,0.012484627300823031,0,0.012484627300823031,0.012484627300823031,-0.10075684198745975,0.12574972595030465,-0.25870181392852776,0.048993675488383293,0.39393939393939387,5.5511151231257827e-17,0.39393939393939392,0.39393939393939392,0.10101010101010101,0.10301049522409667,0,0.24242424242424243
lstm_seed_mean,LSTM_63,D1,NVDA,transition,stable,3,162,True,reportable,0.020106317217522238,0.00064396151887430905,0.019499719002342254,0.020997883790379267,0.027491629945784302,0.00077563710113471305,0.026831890163931352,0.028580431279046286,0.52057613168724282,0.050484955334918903,0.45061728395061729,0.5679012345679012,0.58024691358024694,0,0.58024691358024694,0.58024691358024694,0.019286657968044553,0,0.019286657968044553,0.019286657968044553,-0.042498770436835365,0.033388963497007589,-0.088725886318406832,-0.011047068634219226,0.5,0,0.5,0.5,0.020576131687242778,0.050484955334918896,-0.049382716049382713,0.067901234567901203
lstm_seed_mean,LSTM_63,D1,NVDA,transition,transition,3,91,True,reportable,0.03543235879335551,0.0012420824308450873,0.033758658223493998,0.036730942712923167,0.049018239356714906,0.0023895302977180164,0.045719911702973313,0.051304237998895878,0.59340659340659341,0.02373897691724491,0.5714285714285714,0.62637362637362637,0.59340659340659341,0,0.59340659340659341,0.59340659340659341,0.037904924887173876,0,0.037904924887173876,0.037904924887173876,0.065230734559641013,0.032768365444390511,0.030971758359768065,0.10938596174564308,0.38461538461538464,0,0.38461538461538464,0.38461538461538464,0.2087912087912088,0.02373897691724491,0.18681318681318676,0.24175824175824173
