model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lstm,LSTM_63,1729,D1,MSFT,volatility,low_volatility,33,0.011872959522253097,0.015994527952183344,0.63636363636363635,0.60606060606060608,reportable,0.012484627300823031,0.048993675488383293,0.39393939393939392,0.24242424242424243
lstm,LSTM_63,1729,D1,MSFT,transition,transition,91,0.028675747251417118,0.038556344962726419,0.51648351648351654,0.5714285714285714,reportable,0.026824170658166297,-0.069026424594682778,0.36263736263736263,0.15384615384615391
lstm,LSTM_63,1729,D1,MSFT,transition,stable,162,0.015223649624750075,0.020017196192865228,0.54938271604938271,0.56172839506172845,reportable,0.014026594097933286,-0.085341852659239992,0.43209876543209874,0.11728395061728397
lstm,LSTM_63,2718,D1,MSFT,trend,negative_trend,64,0.035681701729644716,0.047998502882255024,0.421875,0.546875,reportable,0.03017951900457146,-0.18231512318800736,0.34375,0.078125
lstm,LSTM_63,2718,D1,MSFT,trend,positive_trend,189,0.016114068856571233,0.021515762943546603,0.49206349206349204,0.5714285714285714,reportable,0.014718616706167996,-0.094808648004160334,0.42857142857142855,0.063492063492063489
lstm,LSTM_63,2718,D1,MSFT,volatility,high_volatility,220,0.022177546343738693,0.031976334954672773,0.48636363636363639,0.55909090909090908,reportable,0.019551432149232571,-0.13431825221096161,0.40909090909090912,0.077272727272727271
lstm,LSTM_63,2718,D1,MSFT,volatility,low_volatility,33,0.013640234211112484,0.017401919857315915,0.39393939393939392,0.60606060606060608,reportable,0.012484627300823031,-0.092562387522234779,0.39393939393939392,0
lstm,LSTM_63,2718,D1,MSFT,transition,transition,91,0.029733520783366586,0.041264726923889813,0.45054945054945056,0.5714285714285714,reportable,0.026824170658166297,-0.10846002145883959,0.36263736263736263,0.087912087912087933
lstm,LSTM_63,2718,D1,MSFT,transition,stable,162,0.016194058847548553,0.022220476964485848,0.48765432098765432,0.56172839506172845,reportable,0.014026594097933286,-0.15452537761355956,0.43209876543209874,0.05555555555555558
lstm,LSTM_63,31415,D1,MSFT,trend,negative_trend,64,0.039479880140836456,0.056266450507577712,0.578125,0.546875,reportable,0.03017951900457146,-0.30816797096256621,0.34375,0.234375
lstm,LSTM_63,31415,D1,MSFT,trend,positive_trend,189,0.019918076099256887,0.026198149495325462,0.44973544973544971,0.5714285714285714,reportable,0.014718616706167996,-0.35325734047480162,0.42857142857142855,0.021164021164021163
lstm,LSTM_63,31415,D1,MSFT,volatility,high_volatility,220,0.026239330689957985,0.038107648437905012,0.48636363636363639,0.55909090909090908,reportable,0.019551432149232571,-0.34206693860981052,0.40909090909090912,0.077272727272727271
lstm,LSTM_63,31415,D1,MSFT,volatility,low_volatility,33,0.015714423029767569,0.019736801251812281,0.45454545454545453,0.60606060606060608,reportable,0.012484627300823031,-0.25870181392852776,0.39393939393939392,0.060606060606060608
lstm,LSTM_63,31415,D1,MSFT,transition,transition,91,0.035709170532793801,0.050544311690323945,0.45054945054945056,0.5714285714285714,reportable,0.026824170658166297,-0.33123111196440935,0.36263736263736263,0.087912087912087933
lstm,LSTM_63,31415,D1,MSFT,transition,stable,162,0.018775890082029935,0.024827441202148488,0.5,0.56172839506172845,reportable,0.014026594097933286,-0.33859224491257089,0.43209876543209874,0.067901234567901259
lstm,LSTM_63,1729,D1,GOOGL,trend,negative_trend,64,0.025729238302847578,0.037264233614603522,0.546875,0.5625,reportable,0.026230955280477447,0.019126904539510825,0.359375,0.1875
lstm,LSTM_63,1729,D1,GOOGL,trend,positive_trend,189,0.013708563599091146,0.018387714951887946,0.55026455026455023,0.57671957671957674,reportable,0.0135764918814662,-0.0097279708762794126,0.46031746031746029,0.089947089947089942
lstm,LSTM_63,1729,D1,GOOGL,volatility,high_volatility,220,0.017436626762069165,0.025592380930326258,0.53636363636363638,0.55454545454545456,reportable,0.017424254098311165,-0.00071008283558038343,0.43181818181818182,0.10454545454545455
lstm,LSTM_63,1729,D1,GOOGL,volatility,low_volatility,33,0.012167632847128951,0.016219059895057088,0.63636363636363635,0.69696969696969702,reportable,0.012466733391491279,0.023991893864231395,0.45454545454545453,0.18181818181818182
