model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_01,1729,D5,MSFT,trend,negative_trend,0,,,,,descriptive_low_n,,,,
lightgbm,LGBM_01,1729,D5,MSFT,trend,positive_trend,252,0.0095588829030841104,0.012738797402838262,0.51190476190476186,0.5357142857142857,reportable,0.0094642114863573313,-0.010003096070205997,0.52777777777777779,-0.015873015873015928
lightgbm,LGBM_01,1729,D5,MSFT,volatility,high_volatility,93,0.0096708788369924987,0.012253094140188063,0.44086021505376344,0.5268817204301075,reportable,0.0095628006636421115,-0.011301937283007657,0.55913978494623651,-0.11827956989247307
lightgbm,LGBM_01,1729,D5,MSFT,volatility,low_volatility,159,0.0094933758474018432,0.013014488865258944,0.55345911949685533,0.54088050314465408,reportable,0.0094065461185115166,-0.0092307769287869323,0.50943396226415094,0.044025157232704393
lightgbm,LGBM_01,1729,D5,MSFT,transition,transition,35,0.0090948497866132558,0.011978342408914613,0.40000000000000002,0.51428571428571423,reportable,0.0089226602229497427,-0.019298007473222967,0.5714285714285714,-0.17142857142857137
lightgbm,LGBM_01,1729,D5,MSFT,transition,stable,217,0.0096337269541277946,0.012857239832488638,0.52995391705069128,0.53917050691244239,reportable,0.0095515584643262944,-0.0086026264832474997,0.52073732718894006,0.0092165898617512232
lightgbm,LGBM_01,1729,D5,GOOGL,trend,negative_trend,0,,,,,descriptive_low_n,,,,
lightgbm,LGBM_01,1729,D5,GOOGL,trend,positive_trend,252,0.012451104699920707,0.017488535630761186,0.58333333333333337,0.59126984126984128,reportable,0.012755270408194814,0.023846276757777729,0.52380952380952384,0.059523809523809534
lightgbm,LGBM_01,1729,D5,GOOGL,volatility,high_volatility,93,0.01219586524351313,0.015903392170853368,0.56989247311827962,0.56989247311827962,reportable,0.012449842285892507,0.020400020863490798,0.56989247311827962,0
lightgbm,LGBM_01,1729,D5,GOOGL,volatility,low_volatility,159,0.012600395702725134,0.018352343655777512,0.5911949685534591,0.60377358490566035,reportable,0.012933917045767863,0.025786568899625162,0.49685534591194969,0.094339622641509413
lightgbm,LGBM_01,1729,D5,GOOGL,transition,transition,35,0.013998025790995183,0.019163265473767555,0.51428571428571423,0.54285714285714282,reportable,0.014109293584517667,0.0078861349688392757,0.51428571428571423,0
lightgbm,LGBM_01,1729,D5,GOOGL,transition,stable,217,0.012201601298134501,0.017203156038479113,0.59447004608294929,0.59907834101382484,reportable,0.01253687957330403,0.026743359319129856,0.52534562211981561,0.069124423963133674
lightgbm,LGBM_01,1729,D5,NVDA,trend,negative_trend,0,,,,,descriptive_low_n,,,,
